"","PassengerId","Survived"
"1",892,"0"
"2",894,"0"
"3",895,"0"
"4",897,"0"
"5",899,"0"
"6",901,"0"
"7",902,"0"
"8",903,"0"
"9",905,"0"
"10",908,"0"
"11",909,"0"
"12",912,"0"
"13",913,"0"
"14",915,"1"
"15",917,"0"
"16",919,"0"
"17",920,"0"
"18",921,"0"
"19",922,"0"
"20",923,"0"
"21",926,"0"
"22",927,"0"
"23",930,"0"
"24",931,"0"
"25",932,"0"
"26",933,"0"
"27",934,"0"
"28",937,"0"
"29",938,"0"
"30",939,"0"
"31",942,"0"
"32",943,"0"
"33",946,"0"
"34",947,"0"
"35",948,"0"
"36",949,"0"
"37",950,"0"
"38",952,"0"
"39",953,"0"
"40",954,"0"
"41",956,"1"
"42",959,"0"
"43",960,"0"
"44",963,"0"
"45",965,"0"
"46",967,"0"
"47",968,"0"
"48",970,"0"
"49",972,"0"
"50",973,"0"
"51",974,"0"
"52",975,"0"
"53",976,"0"
"54",977,"0"
"55",981,"0"
"56",983,"0"
"57",985,"0"
"58",986,"0"
"59",987,"0"
"60",989,"0"
"61",991,"0"
"62",993,"0"
"63",994,"0"
"64",995,"0"
"65",997,"0"
"66",998,"0"
"67",999,"0"
"68",1000,"0"
"69",1001,"0"
"70",1002,"0"
"71",1007,"0"
"72",1008,"0"
"73",1010,"0"
"74",1013,"0"
"75",1015,"0"
"76",1016,"0"
"77",1018,"0"
"78",1020,"0"
"79",1021,"0"
"80",1022,"0"
"81",1023,"0"
"82",1025,"0"
"83",1026,"0"
"84",1027,"0"
"85",1028,"0"
"86",1029,"0"
"87",1031,"0"
"88",1034,"0"
"89",1035,"0"
"90",1036,"0"
"91",1037,"0"
"92",1038,"0"
"93",1039,"0"
"94",1040,"0"
"95",1041,"0"
"96",1043,"0"
"97",1044,"0"
"98",1046,"0"
"99",1047,"0"
"100",1050,"0"
"101",1053,"0"
"102",1055,"0"
"103",1056,"0"
"104",1058,"0"
"105",1059,"0"
"106",1062,"0"
"107",1063,"0"
"108",1064,"0"
"109",1065,"0"
"110",1066,"0"
"111",1069,"0"
"112",1072,"0"
"113",1073,"0"
"114",1075,"0"
"115",1077,"0"
"116",1079,"0"
"117",1081,"0"
"118",1082,"0"
"119",1083,"0"
"120",1084,"0"
"121",1085,"0"
"122",1086,"0"
"123",1087,"0"
"124",1088,"1"
"125",1090,"0"
"126",1093,"0"
"127",1094,"0"
"128",1096,"0"
"129",1097,"0"
"130",1099,"0"
"131",1101,"0"
"132",1102,"0"
"133",1103,"0"
"134",1104,"0"
"135",1107,"0"
"136",1109,"0"
"137",1111,"0"
"138",1113,"0"
"139",1115,"0"
"140",1118,"0"
"141",1120,"0"
"142",1121,"0"
"143",1122,"0"
"144",1124,"0"
"145",1125,"0"
"146",1126,"0"
"147",1127,"0"
"148",1128,"0"
"149",1129,"0"
"150",1134,"0"
"151",1135,"0"
"152",1136,"0"
"153",1137,"0"
"154",1139,"0"
"155",1143,"0"
"156",1144,"0"
"157",1145,"0"
"158",1146,"0"
"159",1147,"0"
"160",1148,"0"
"161",1149,"0"
"162",1151,"0"
"163",1152,"0"
"164",1153,"0"
"165",1156,"0"
"166",1157,"0"
"167",1158,"0"
"168",1159,"0"
"169",1161,"0"
"170",1162,"0"
"171",1163,"0"
"172",1166,"0"
"173",1168,"0"
"174",1169,"0"
"175",1170,"0"
"176",1171,"0"
"177",1173,"0"
"178",1177,"0"
"179",1178,"0"
"180",1179,"0"
"181",1180,"0"
"182",1181,"0"
"183",1182,"0"
"184",1184,"0"
"185",1185,"0"
"186",1186,"0"
"187",1187,"0"
"188",1189,"0"
"189",1190,"0"
"190",1191,"0"
"191",1192,"0"
"192",1193,"0"
"193",1194,"0"
"194",1195,"0"
"195",1198,"0"
"196",1199,"0"
"197",1200,"0"
"198",1202,"0"
"199",1203,"0"
"200",1204,"0"
"201",1208,"0"
"202",1209,"0"
"203",1210,"0"
"204",1211,"0"
"205",1212,"0"
"206",1213,"0"
"207",1214,"0"
"208",1215,"0"
"209",1217,"0"
"210",1219,"0"
"211",1220,"0"
"212",1221,"0"
"213",1223,"0"
"214",1224,"0"
"215",1226,"0"
"216",1227,"0"
"217",1228,"0"
"218",1229,"0"
"219",1230,"0"
"220",1231,"0"
"221",1232,"0"
"222",1233,"0"
"223",1234,"0"
"224",1236,"0"
"225",1238,"0"
"226",1240,"0"
"227",1243,"0"
"228",1244,"0"
"229",1245,"0"
"230",1247,"0"
"231",1249,"0"
"232",1250,"0"
"233",1252,"0"
"234",1255,"0"
"235",1258,"0"
"236",1261,"0"
"237",1262,"0"
"238",1264,"0"
"239",1265,"0"
"240",1269,"0"
"241",1270,"0"
"242",1271,"0"
"243",1272,"0"
"244",1273,"0"
"245",1276,"0"
"246",1278,"0"
"247",1279,"0"
"248",1280,"0"
"249",1281,"0"
"250",1282,"0"
"251",1284,"0"
"252",1285,"0"
"253",1286,"0"
"254",1288,"0"
"255",1290,"0"
"256",1291,"0"
"257",1293,"0"
"258",1295,"0"
"259",1296,"0"
"260",1297,"0"
"261",1298,"0"
"262",1299,"0"
"263",1305,"0"
"264",1307,"0"
"265",1308,"0"
"266",1309,"0"
